owner	method	mangled	evidence	source	note
IVP_U_FVector	len		host-test	tests/IvpRetailContactLifecycleTest.cpp	The 16-bit count decreases from three to two after fast unordered removal.
IVP_U_BigVector	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	The template adds no storage beyond the confirmed 0x0C IVP_U_BigVector_Base; retained RVA 0x21A50 treats this +0x0C as the immediate inline-storage boundary.
IVP_U_BigVector	IVP_U_BigVector		host-test	tests/IvpRetailContactLifecycleTest.cpp	A one-slot broadphase-style ledge list is constructed through the retail allocator before exact-DLL growth.
IVP_U_BigVector	add		host-test	tests/IvpRetailContactLifecycleTest.cpp	Three distinct ledge identities receive stable consecutive indices while the retained growth body expands capacity 1 to 3.
IVP_U_BigVector	len		host-test	tests/IvpRetailContactLifecycleTest.cpp	The public length observes the confirmed 32-bit element count after broadphase-style growth.
IVP_U_BigVector	element_at		host-test	tests/IvpRetailContactLifecycleTest.cpp	All ledge identities remain ordered and address-stable after the exact mandatory-DLL realloc/copy path.
IVP_U_Vector_Base	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	Retained growth RVA 0xB600 reads uint16 capacity/count at +0x00/+0x02, the pointer at +0x04 and compares it with inline storage at this +0x08, proving the complete 0x08 base header.
IVP_U_Vector_Base	increment_mem	?increment_mem@IVP_U_Vector_Base@@QAEXXZ	host-test	tests/IvpRetailContactLifecycleTest.cpp	The exact mandatory-DLL growth body expands a one-slot Core-style object list to three slots, preserves all three identities and pairs allocation ownership with destruction.
IVP_U_Vector	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	The template adds no storage beyond its confirmed IVP_U_Vector_Base; retained RVA 0xB600 treats this +0x08 as the immediate inline-storage boundary, fixing instantiated vector size at 0x08.
IVP_U_Vector	IVP_U_Vector		host-test	tests/IvpRetailContactLifecycleTest.cpp	A one-slot object-neighborhood vector is created through the retail allocator before exact-DLL growth; a second list is constructed directly by anonymous retail RVA 0x24C20 and used through the same public operations.
IVP_U_Vector	IVP_U_Vector		retail-inline-body	docs/zh-CN/ivp-retail-differences.md	Anonymous shared RVA 0x24C20 is the compiler-emitted allocated constructor for compact 16-bit IVP_U_Vector instantiations; Phantom and Impact Solver callers prove the template context and retail allocator ownership.
IVP_U_Vector	clear		host-test	tests/IvpRetailContactLifecycleTest.cpp	Clearing a two-Core inline vector preserves its this+1 storage pointer and capacity, then accepts another Core without crossing into the retail allocator.
IVP_U_Vector	add		host-test	tests/IvpRetailContactLifecycleTest.cpp	Three distinct object identities are appended in Core/listener-list style and receive stable consecutive indices across retail growth.
IVP_U_Vector	len		host-test	tests/IvpRetailContactLifecycleTest.cpp	The public length observes the retained growth body's 16-bit count as three after the neighborhood expansion.
IVP_U_Vector	element_at		host-test	tests/IvpRetailContactLifecycleTest.cpp	All three object identities remain address-stable and ordered after the exact mandatory-DLL realloc/copy path.
IVP_Time	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	Environment setter RVA 0x138F0 reads two stack dwords, stores them at current_time +0x00/+0x04 and returns with RET 8; Friction reset RVA 0x1CBC0 forwards the same 8-byte by-value representation.
IVP_Time	IVP_Time	??0IVP_Time@@QAE@N@Z	host-test	tests/IvpRetailContactLifecycleTest.cpp	A nontrivial contact timestamp constructed in the Mod crosses the exact mandatory-DLL by-value setter without truncation or word reversal.
IVP_Time	get_time	?get_time@IVP_Time@@QBENXZ	host-test	tests/IvpRetailContactLifecycleTest.cpp	The getter recovers the exact nontrivial timestamp after the retail setter stores both halves in the environment clock.
IVP_Application_Environment	IVP_Application_Environment	??0IVP_Application_Environment@@QAE@XZ	host-test	tests/IvpRetailContactLifecycleTest.cpp	Exact construction receives 0xA5 poison storage, clears the complete 0x30 object, sets the Ballance default object-cache count to 256 and leaves every optional application manager pointer null.
IVP_Environment	set_delta_PSI_time	?set_delta_PSI_time@IVP_Environment@@QAEXN@Z	host-test	tests/IvpRetailContactLifecycleTest.cpp	The exact setter preserves the 8-byte fixed step at environment +0xC0 and stores its double reciprocal at +0xC8.
IVP_Environment	set_gravity	?set_gravity@IVP_Environment@@QAEXPAVIVP_U_Point@@@Z	host-test	tests/IvpRetailContactLifecycleTest.cpp	A non-axis-aligned gravity vector is copied as doubles, reduced to a float scalar magnitude and forwarded as floats to the standard gravity controller.
IVP_Environment	get_delta_PSI_time	?get_delta_PSI_time@IVP_Environment@@QAEMXZ	host-test	tests/IvpRetailContactLifecycleTest.cpp	After the retained setter stores an 8-byte PSI interval, the public getter returns its Ballance IVP_FLOAT projection.
IVP_Environment	get_inv_delta_PSI_time	?get_inv_delta_PSI_time@IVP_Environment@@QAEMXZ	host-test	tests/IvpRetailContactLifecycleTest.cpp	The public getter exposes the float projection of the reciprocal double maintained by the retained fixed-step setter.
IVP_Environment	get_gravity	?get_gravity@IVP_Environment@@QAEPBVIVP_U_Point@@XZ	host-test	tests/IvpRetailContactLifecycleTest.cpp	The getter returns the embedded Ballance environment gravity vector updated by the retained DLL setter.
IVP_Environment	get_gravity_controller	?get_gravity_controller@IVP_Environment@@QAEPAVIVP_Standard_Gravity_Controller@@XZ	host-test	tests/IvpRetailContactLifecycleTest.cpp	The getter returns the standard controller that receives the retained DLL gravity setter's float-vector update.
IVP_Environment	set_global_collision_tolerance	?set_global_collision_tolerance@IVP_Environment@@SAXNN@Z	host-test	tests/IvpRetailContactLifecycleTest.cpp	The public two-argument compatibility wrapper drives Ballance's retained one-double Mindist Settings body; changing gravityLength alone leaves the threshold unchanged.
IVP_Environment	get_global_collision_tolerance	?get_global_collision_tolerance@IVP_Environment@@SAMXZ	host-test	tests/IvpRetailContactLifecycleTest.cpp	The getter reads min_coll_dists at the retail global settings object and reproduces each non-default tolerance written through the exact DLL body.
IVP_Environment	add_listener_object_global	?add_listener_object_global@IVP_Environment@@QAEXPAVIVP_Listener_Object@@@Z	host-test	tests/IvpRetailContactLifecycleTest.cpp	The retained DLL entry appends two global object listeners to the retail-confirmed Environment vector in registration order.
IVP_Environment	install_listener_object_global	?install_listener_object_global@IVP_Environment@@QAEXPAVIVP_Listener_Object@@@Z	host-test	tests/IvpRetailContactLifecycleTest.cpp	Installing an already registered global object listener leaves one entry, distinguishing unique install from the append operation.
IVP_Environment	remove_listener_object_global	?remove_listener_object_global@IVP_Environment@@QAEXPAVIVP_Listener_Object@@@Z	host-test	tests/IvpRetailContactLifecycleTest.cpp	A listener removes itself during retail revived dispatch and remains absent from the following deleted event; the final peer is then removed explicitly.
IVP_Environment	fire_event_object_created	?fire_event_object_created@IVP_Environment@@QAEXPAVIVP_Event_Object@@@Z	host-test	tests/IvpRetailContactLifecycleTest.cpp	Exact retained dispatcher RVA 0x13AC0 passes the original event to object-created callbacks newest-first over the Ballance Environment listener vector.
IVP_Environment	fire_event_object_frozen	?fire_event_object_frozen@IVP_Environment@@QAEXPAVIVP_Event_Object@@@Z	host-test	tests/IvpRetailContactLifecycleTest.cpp	Exact retained dispatcher RVA 0x13B20 preserves newest-first object-frozen callback ordering and listener identity before lifecycle mutation.
IVP_Environment	fire_event_object_revived	?fire_event_object_revived@IVP_Environment@@QAEXPAVIVP_Event_Object@@@Z	host-test	tests/IvpRetailContactLifecycleTest.cpp	Exact retained dispatcher RVA 0x13B50 tolerates the newest listener removing itself and still invokes the older listener in the same revived event; RVA 0x13650 is a different collision-root dispatcher.
IVP_Environment	fire_event_object_deleted	?fire_event_object_deleted@IVP_Environment@@QAEXPAVIVP_Event_Object@@@Z	host-test	tests/IvpRetailContactLifecycleTest.cpp	After self-removal during exact revived dispatch, retained deleted dispatcher RVA 0x13AF0 reaches only the listener that remains registered.
IVP_Environment	fire_object_is_removed_from_collision_detection	?fire_object_is_removed_from_collision_detection@IVP_Environment@@QAEXPAVIVP_Real_Object@@@Z	host-test	tests/IvpRetailContactLifecycleTest.cpp	The corrected exact DLL entry traverses collision_delegator_roots at Environment +0x158 newest-first and invokes root slot 2 with the original object.
IVP_Collision_Delegator	*		retail-vtable-variant	docs/zh-CN/ivp-retail-differences.md	Ballance's retained root dispatch places object removal at slot 2, proving the base has only collision deletion and destructor slots.
IVP_Collision_Delegator	change_spawned_mindist_count	?change_spawned_mindist_count@IVP_Collision_Delegator@@UAEXH@Z	retail-virtual-variant	docs/zh-CN/ivp-retail-differences.md	The neighboring revision adds this bookkeeping hook virtually, but Ballance's slot-2 root object-removal call leaves no base slot for it; the compatibility default is non-virtual.
IVP_Collision_Delegator	get_spawned_mindist_count	?get_spawned_mindist_count@IVP_Collision_Delegator@@UAEHXZ	retail-virtual-variant	docs/zh-CN/ivp-retail-differences.md	The neighboring virtual query postdates Ballance's two-slot base; it remains a non-virtual source-compatible default so root slot 2 keeps its retail meaning.
IVP_Real_Object	get_cache_object		retail-inline-body	docs/zh-CN/ivp-retail-differences.md	Anonymous retail RVA 0x1A190 is the compiler-emitted shared body of this public inline accessor: it creates a missing cache, increments +0x04 before any refresh, conditionally calls RVA 0x18A40, and returns object +0x40.
IVP_Real_Object	get_cache_object		host-test	tests/IvpRetailContactLifecycleTest.cpp	A Ballance collision/raycast cache-ring scenario uses the reconstructed locking accessor to pin an object cache, verifies that retail allocation skips it, and compares the same identity/reference transition with exact anonymous RVA 0x1A190.
IVP_Real_Object	get_cache_object_no_lock		retail-inline-body	docs/zh-CN/ivp-retail-differences.md	Retained Ray Solver Object constructor RVA 0x22030 inlines the no-lock cache acquisition and time-code refresh sequence without modifying IVP_Cache_Object +0x04.
IVP_Real_Object	get_cache_object_no_lock		host-test	tests/IvpRetailContactLifecycleTest.cpp	The ray-query form returns the existing cache without increasing its reference count, after which the locking form pins it and protects it from retail ring eviction.
IVP_Cache_Object_Manager	cache_object_at	?cache_object_at@IVP_Cache_Object_Manager@@QAEPAVIVP_Cache_Object@@H@Z	host-test	tests/IvpRetailContactLifecycleTest.cpp	The reconstructed inline accessor advances through the exact manager allocation at the retail-confirmed 0xD0 cache-object stride.
IVP_Cache_Object_Manager	get_cache_object	?get_cache_object@IVP_Cache_Object_Manager@@QAEPAVIVP_Cache_Object@@PAVIVP_Real_Object@@@Z	host-test	tests/IvpRetailContactLifecycleTest.cpp	A full two-entry ring skips a referenced cache, evicts the free entry, clears its old Real Object backlink and installs the replacement identity.
IVP_Cache_Object_Manager	invalid_cache_object	?invalid_cache_object@IVP_Cache_Object_Manager@@SAXPAVIVP_Real_Object@@@Z	host-test	tests/IvpRetailContactLifecycleTest.cpp	Exact static invalidation clears both the Real Object +0x40 backlink and cache +0x08 owner while preserving the outstanding reference count.
IVP_Inline_Math	*		layout-not-applicable	docs/zh-CN/ivp-retail-differences.md	This is a static utility namespace expressed as a class: all public methods are static, including retained isqrt_float/isqrt_double, so no instance or this-pointer layout exists to classify.
IVP_Controller_Manager	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	Environment RVA 0x12A60 allocates exactly 4 bytes, inlines the constructor's sole environment-pointer write and stores the result at environment +0xA0; announce RVA 0x11B30 later reads that +0x00 backlink.
IVP_Freeze_Manager	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	Constructor RVA 0x12A40 delegates to RVA 0x12A50, whose sole +0x00 float write proves the 0x04 layout; Environment RVA 0x12A60 constructs it at +0x98 and next accesses +0x9C.
IVP_Freeze_Manager	IVP_Freeze_Manager	??0IVP_Freeze_Manager@@QAE@XZ	host-test	tests/IvpRetailContactLifecycleTest.cpp	The exact mandatory-DLL constructor establishes Ballance's 0.3-second freeze-check cadence.
IVP_Freeze_Manager	init_freeze_manager	?init_freeze_manager@IVP_Freeze_Manager@@QAEXXZ	host-test	tests/IvpRetailContactLifecycleTest.cpp	After a simulated runtime change, the exact retained initializer restores the 0.3-second freeze-check cadence.
IVP_Statistic_Manager	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	Constructor RVA 0x15E50 clears 0x18 dwords, proving size 0x60; Environment RVA 0x12A60 constructs it at +0x38 and the adjacent Freeze manager at +0x98.
IVP_Statistic_Manager	IVP_Statistic_Manager	??0IVP_Statistic_Manager@@QAE@XZ	host-test	tests/IvpRetailContactLifecycleTest.cpp	The exact mandatory-DLL constructor zeroes every byte of the complete 0x60 statistics window used by a Ballance environment.
IVP_Statistic_Manager	clear_statistic	?clear_statistic@IVP_Statistic_Manager@@QAEXXZ	host-test	tests/IvpRetailContactLifecycleTest.cpp	A reporting-window reset clears impact and collision interval counters while preserving lifetime energy, mindist and global-fmindist totals.
IVP_Actuator_Two_Point	IVP_Actuator_Two_Point	??0IVP_Actuator_Two_Point@@QAE@PAVIVP_Environment@@PAVIVP_Template_Two_Point@@W4IVP_ACTUATOR_TYPE@@@Z	retail-constructor-reconstruction	docs/zh-CN/ivp-retail-differences.md	The public constructor enters retained complete RVA 0x14020 from storage-only Actuator and anchor-array state. That body owns the nested 0x13F60 base/vector construction and both 0x30-byte anchor lifetimes; the resolver-free fallback reproduces the same chain once.
IVP_Constraint_Local_Anchor	IVP_Constraint_Local_Anchor	??0IVP_Constraint_Local_Anchor@@QAE@XZ	retail-constructor-reconstruction	docs/zh-CN/ivp-retail-differences.md	Direct Local Anchor construction enters retained RVA 0x28210, which writes only null to rot at +0x84 and deliberately preserves object at +0x80. Enclosing Local construction holds anchors in union storage and lets RVA 0x28270 call this body itself.
IVP_U_Active_Float	~IVP_U_Active_Float		retail-destructor-reconstruction	docs/zh-CN/ivp-retail-differences.md	Retained RVA 0x15CB0 folds to 0x15B00, which restores the Float vptr, destroys the dependency vector at +0x0C and enters exact Active Value destructor RVA 0x159D0. The wrapper destroys its union-held vector layer and then lets C++ enter that exact base once.
IVP_U_Active_Int	~IVP_U_Active_Int		retail-destructor-reconstruction	docs/zh-CN/ivp-retail-differences.md	Retained RVA 0x15D20 folds to 0x15B40, which restores the Int vptr, destroys the dependency vector at +0x0C and enters exact Active Value destructor RVA 0x159D0. The wrapper destroys its union-held vector layer and then lets C++ enter that exact base once.
IVP_U_Active_Value	IVP_U_Active_Value	??0IVP_U_Active_Value@@QAE@PBD@Z	retail-constructor-reconstruction	docs/zh-CN/ivp-retail-differences.md	Direct Active Value construction enters retained RVA 0x15980. Derived complete constructors receive storage-only base state and invoke the same body internally, while the resolver-free fallback reproduces its string allocation and zero reference count.
IVP_U_Active_Float	IVP_U_Active_Float	??0IVP_U_Active_Float@@QAE@PBD@Z	retail-constructor-reconstruction	docs/zh-CN/ivp-retail-differences.md	Direct Float construction enters retained RVA 0x15A00 from storage-only Active Value state; the resolver-free fallback explicitly reconstructs the same name, dependency-vector and value fields once.
IVP_U_Active_Int	IVP_U_Active_Int	??0IVP_U_Active_Int@@QAE@PBD@Z	retail-constructor-reconstruction	docs/zh-CN/ivp-retail-differences.md	Direct Int construction enters retained RVA 0x15A80 from storage-only Active Value state; the resolver-free fallback explicitly reconstructs the same name, dependency-vector and value fields once.
IVP_U_Active_Terminal_Double	IVP_U_Active_Terminal_Double	??0IVP_U_Active_Terminal_Double@@QAE@PBDN@Z	retail-constructor-reconstruction	docs/zh-CN/ivp-retail-differences.md	The public terminal constructor now enters retained complete RVA 0x15C50 from storage-only Float state; that body owns its nested 0x15A00 base construction and current/old double initialization.
IVP_U_Active_Terminal_Int	IVP_U_Active_Terminal_Int	??0IVP_U_Active_Terminal_Int@@QAE@PBDH@Z	retail-constructor-reconstruction	docs/zh-CN/ivp-retail-differences.md	The public terminal constructor now enters retained complete RVA 0x15CC0 from storage-only Int state; that body owns its nested 0x15A80 base construction and current/old int initialization.
IVP_U_Active_Value	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	RVA 0x15980 establishes the primary vptr at +0x00, allocated name pointer at +0x04 and reference count at +0x08, giving the 0x0C base boundary.
IVP_Constraint_Local_Anchor	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	RVA 0x28210 writes rot at +0x84, while the retained IVP_Constraint_Local constructor invokes embedded anchors at +0x70/+0xF8 and later assigns their object fields at parent +0xF0/+0x178. Together with the retail-confirmed 0x80 IVP_U_Matrix base, this establishes object +0x80, rot +0x84 and size 0x88.
IVP_U_BigVector_Base	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	RVA 0x21A50 reads and writes memsize at +0x00, n_elems at +0x04 and elems at +0x08, compares elems with inline storage at this+0x0C, and therefore establishes the 0x0C base prefix.
IVP_U_BigVector_Base	increment_mem		host-test	tests/IvpRetailContactLifecycleTest.cpp	The exact Ballance DLL grows a one-entry broadphase-style pointer list to three entries, preserves all existing identities and releases the retail allocation through the matching allocator.
IVP_Synapse	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	RVA 0x16610 writes l_obj at +0x10 and the signed mindist back-offset at +0x18; RVA 0x16470 reads edge at +0x14. Retained two-synapse callsites use this+0x18/this+0x34, proving the complete 0x1C stride with the Listener Hull +0x00..+0x07 and links at +0x08/+0x0C.
IVP_Synapse	init_synapse_real		host-test	tests/IvpRetailContactLifecycleTest.cpp	The exact Ballance DLL stores a nearby mindist as a signed 16-bit back-offset and an object backlink while preserving list links, edge identity and polygon status.
IVP_VHash	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	RVA 0x1DB30 writes the vptr at +0x00, size mask at +0x04, packed 24-bit count/8-bit dont_free word at +0x08 and element table at +0x0C. The retained destructor, rehash, add, remove and find bodies use the same 0x10 boundary.
IVP_VHash	add_elem		host-test	tests/IvpRetailContactLifecycleTest.cpp	The exact DLL inserts three colliding object identities and triggers the retained 4-to-8 rehash while preserving the owner-supplied equality vtable call.
IVP_VHash	find_elem		host-test	tests/IvpRetailContactLifecycleTest.cpp	The exact DLL resolves all three identities in one collision chain and still resolves displaced survivors after middle-element deletion.
IVP_VHash	remove_elem		host-test	tests/IvpRetailContactLifecycleTest.cpp	The exact DLL removes the selected middle identity, decrements the packed element count and repairs the open-addressing probe chain.
IVP_U_Active_Float	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	RVA 0x15A00 and the retained terminal-double bodies establish the listener vector at +0x0C, manager at +0x14, last_update at +0x18 and binary64 double_value at +0x20 in the 0x28 base.
IVP_U_Active_Int	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	RVA 0x15A80 and the retained terminal-int bodies establish the listener vector at +0x0C, manager at +0x14, last_update at +0x18 and int_value at +0x1C in the 0x20 base.
IVP_U_Active_Float	add_dependency	?add_dependency@IVP_U_Active_Float@@QAEXPAVIVP_U_Active_Float_Listener@@@Z	retail-inline-body	physics_RT.dll RVA 0x15BA0	The anonymous body called four times by the retained Spring Active constructor appends the listener through the compact vector at +0x0C and then increments the owner reference count at +0x08.
IVP_U_Active_Float	remove_dependency	?remove_dependency@IVP_U_Active_Float@@QAEXPAVIVP_U_Active_Float_Listener@@@Z	retail-inline-body	physics_RT.dll RVA 0x15BE0	The anonymous body called four times by the retained Spring Active destructor removes the registered listener, decrements reference_count and enters deleting slot 0 when the last reference is released.
IVP_U_Active_Float	add_dependency	?add_dependency@IVP_U_Active_Float@@QAEXPAVIVP_U_Active_Float_Listener@@@Z	host-test	tests/IvpRetailContactLifecycleTest.cpp	The reconstructed public operation and anonymous retail RVA 0x15BA0 independently attach listeners to live terminal values, raise the owner reference count and deliver the next actuator-parameter update through the listener vtable.
IVP_U_Active_Float	remove_dependency	?remove_dependency@IVP_U_Active_Float@@QAEXPAVIVP_U_Active_Float_Listener@@@Z	host-test	tests/IvpRetailContactLifecycleTest.cpp	The reconstructed public operation and anonymous retail RVA 0x15BE0 independently detach registered listeners, restore the owner reference count and suppress later actuator-parameter notifications.
IVP_Core	calc_virt_mass_worst_case	?calc_virt_mass_worst_case@IVP_Core@@QBENPBVIVP_U_Float_Point@@@Z	retail-body-variant	physics_RT.dll RVA 0xC200	Three calls from retained contact virtual-mass refresh, the Core +0x34..+0x40 reads, RET 4 and x87 result identify the anonymous public body. Ballance always adds inv_mass and omits the nearby source's pinned branch.
IVP_Core	calc_virt_mass_worst_case	?calc_virt_mass_worst_case@IVP_Core@@QBENPBVIVP_U_Float_Point@@@Z	host-test	tests/IvpRetailContactLifecycleTest.cpp	An exact-DLL contact arm with unequal inverse inertia axes verifies the maximum rotational term, inverse mass term and binary64 x87 return used when refreshing a Ballance contact.
IVP_U_Active_Terminal_Double	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	RVA 0x15C50 installs the delayed secondary base at +0x28 and old_value at +0x30. RVA 0x15D30 receives that adjusted +0x28 pointer, accesses current/old at -0x08/+0x08 and subtracts 0x28 before listener dispatch, confirming the complete 0x38 layout.
IVP_U_Active_Terminal_Int	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	RVA 0x15CC0 installs the delayed secondary base at +0x20 and old_value at +0x24. RVA 0x15D60 receives that adjusted +0x20 pointer, accesses current/old at -0x04/+0x04 and subtracts 0x20 before listener dispatch, confirming the complete 0x28 layout.
IVP_Controller	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	The seven-slot base vtable is retained, and the IVP_Actuator constructor starts its first member at offset 0x04, confirming the vptr-only 0x04 base layout.
IVP_Actuator	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	RVA 0x13F60 initializes the controlled-core vector at 0x04/0x06/0x08, while RVA 0x14020 starts derived anchor storage at 0x0C.
IVP_Actuator_Two_Point	*		layout-retail	docs/zh-CN/ivp-retail-differences.md	RVA 0x14020 constructs two 0x30-byte anchors at 0x0C and 0x3C, stores client_data at 0x6C, and derived actuator fields begin at 0x70.
IVP_Actuator	IVP_Actuator		host-test	tests/IvpRetailContactLifecycleTest.cpp	The exact retail constructor initializes the controller's controlled-core vector in the mandatory Ballance DLL.
IVP_Actuator	~IVP_Actuator		host-test	tests/IvpRetailContactLifecycleTest.cpp	A populated retail-allocated controlled-core vector is released through the exact complete destructor without a second host-side destruction.
IVP_Actuator	~IVP_Actuator		retail-body-variant	docs/zh-CN/ivp-retail-differences.md	Ballance retains the MSVC complete destructor ??1IVP_Actuator@@UAE@XZ at RVA 0x13FE0; Clang's nearby declaration probe names the base-destructor variant ??_D instead.
IVP_Actuator	get_associated_controlled_cores		host-test	tests/IvpRetailContactLifecycleTest.cpp	The exact accessor returns the vector at offset 0x04 and preserves two controller core entries.
IVP_Actuator	get_controller_priority		host-test	tests/IvpRetailContactLifecycleTest.cpp	The exact retail priority body returns IVP_CP_ACTUATOR.
